bias,ProbeAX,CoT,IMP,IsD,BW,BW+IsD,2sAX,2sAX+BW,sAX,sAX+BW,sAX+BW+IsD,Ø
all biases,7.615685166878501,16.061643835616437,13.276373393588475,10.24319997746627,10.342465753424658,8.258967998947705,9.081637446680572,7.465753424657534,7.226027397260275,6.335616438356165,6.311843901520501,12.945205479452055
anchoring bias,5.650684931506849,6.506849315068493,6.027397260273973,5.205479452054794,5.5479452054794525,5.102739726027397,4.965753424657534,5.273972602739726,3.732876712328767,3.4589041095890414,3.4589041095890414,5.650684931506849
availability bias,6.406316016787629,10.586111710967355,9.97972336192371,7.739726027397261,8.013698630136986,7.887343820562998,7.848760734351805,6.648439408459703,5.789666406902832,6.061643835616438,5.8561643835616435,8.493150684931507
bandwagon effect,7.294520547945206,14.417808219178081,13.057810474096623,8.972602739726028,7.636986301369863,6.5410958904109595,8.732876712328768,7.02054794520548,6.7465753424657535,5.7534246575342465,5.650684931506849,11.678082191780822
confirmation bias,8.595890410958905,16.404109589041095,14.308086181673094,8.756139871215908,9.295781273521,7.779515944153184,9.452999527633445,7.928023348867862,8.253424657534246,6.035365406492982,6.164383561643836,13.253424657534246
framing effect,19.657534246575345,23.84416047771508,27.089041095890412,23.055785065770323,22.226027397260275,21.198630136986303,18.974256022673593,18.184931506849317,15.616438356164384,14.970776568676238,15.168076727402914,25.05148730668771
hindsight bias,19.178082191780824,25.71917808219178,27.476809036025802,23.63013698630137,25.890410958904113,21.301369863013697,42.054794520547944,40.205479452054796,43.082191780821915,42.08904109589041,33.6986301369863,26.506849315068493
hyperbolic discounting,10.445205479452055,40.68493150684931,28.571478869933433,17.705479452054796,13.527397260273972,12.67123287671233,10.35723694114105,8.219178082191782,11.047393082042557,7.059492267508503,6.694192685270675,24.904912353178666
overconfidence bias,4.520547945205479,13.424657534246576,9.863013698630137,8.595890410958905,7.808219178082192,7.568493150684931,5.41095890410959,4.628364720151183,4.558884365509915,3.801369863013699,3.8698630136986303,10.856164383561644
