strategy,baseline,alternative,n_units_aligned,u_stat,p_raw,p_fdr,r_rb,mean_display_vals,median_display_vals
Ø,,two-sided,,,,,0.0,20.38072981351253,16.954365079365076
2sAX,Ø,two-sided,8.0,25.0,0.5053613053613053,0.6176638176638176,0.21875,17.9651109516755,14.294576442850502
2sAX+BW,Ø,two-sided,8.0,24.0,0.4418026418026417,0.6074786324786323,0.25,16.68942273742622,12.189358135164806
BW,Ø,two-sided,8.0,22.0,0.32820512820512815,0.6074786324786323,0.3125,17.040393194652662,15.466269841269842
BW+IsD,Ø,two-sided,8.0,21.0,0.2786324786324786,0.6074786324786323,0.34375,15.645472874521678,13.674100916517235
CoT,Ø,two-sided,8.0,38.0,0.5737373737373737,0.631111111111111,-0.1875,22.9659779829829,19.322556114956996
IMP,Ø,two-sided,8.0,33.0,0.959129759129759,0.959129759129759,-0.03125,21.404409640377562,19.616054356916617
IsD,Ø,two-sided,8.0,22.0,0.32820512820512815,0.6074786324786323,0.3125,17.26055500868914,15.502133559141928
ProbeAX,Ø,two-sided,8.0,21.0,0.2786324786324786,0.6074786324786323,0.34375,14.438507508225094,11.686085781830464
sAX,Ø,two-sided,8.0,24.0,0.4418026418026417,0.6074786324786323,0.25,16.654749597497652,13.072534263338227
sAX+BW,Ø,two-sided,8.0,24.0,0.4418026418026417,0.6074786324786323,0.25,15.437193352724899,12.976190476190478
sAX+BW+IsD,Ø,two-sided,8.0,24.0,0.4418026418026417,0.6074786324786323,0.25,14.985050560583286,12.171160130718954
